"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","Link","Document Type","Publication Stage","Source"
"Zhao Q.; Zhang L.; Liu F.; Liu Y.; Yan Z.; Chen Z.; Zhou Y.; Jiang J.; Li G.; Sun Z.; Li Z.; Ma Y.","Zhao, Qianhui (58983803700); Zhang, Li (59157666600); Liu, Fang (57206686247); Liu, Yang (58993233300); Yan, Zhen (58997819300); Chen, Zhenghao (58998271300); Zhou, Yufei (57842821900); Jiang, Jing (56473715600); Li, Ge (55901136600); Sun, Zian (7404239271); Li, Zhongqi (57831767100); Ma, Yuchi (57832420700)","58983803700; 59157666600; 57206686247; 58993233300; 58997819300; 58998271300; 57842821900; 56473715600; 55901136600; 7404239271; 57831767100; 57832420700","Peer-aided repairer: empowering large language models to repair advanced student assignments","2026","Empirical Software Engineering","31","2","33","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024078516&doi=10.1007%2Fs10664-025-10716-z&partnerID=40&md5=f9a60ef3d57deba7087b5c0942846162","Article","Final","Scopus"
"Logothetis I.; Pirpiris D.; Vidakis N.","Logothetis, Ilias (57216936125); Pirpiris, Dimitris (60013517200); Vidakis, Nikolas (55400158500)","57216936125; 60013517200; 55400158500","A Conversational Agent for Cultural and Environmental Education: Enhancing User Experience and Immersion in Augmented Reality","2026","Lecture Notes in Computer Science","15738 LNCS","","","138","150","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014376357&doi=10.1007%2F978-3-031-97769-5_11&partnerID=40&md5=e95065f4a4799b2b139d25d7a63d4033","Conference paper","Final","Scopus"
"Beucler J.; De Neys W.","Beucler, Jérémie (57918757800); De Neys, Wim (6602538358)","57918757800; 6602538358","Intuitive insight: Fast associative processes drive sound creative thinking","2026","Cognition","271","","106422","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026654090&doi=10.1016%2Fj.cognition.2025.106422&partnerID=40&md5=d6024be4c69b597171d0d8a016cf5808","Article","Final","Scopus"
"Weyssow M.; Kamanda A.; Zhou X.; Sahraoui H.","Weyssow, Martin (57218143928); Kamanda, Aton (58965990400); Zhou, Xin (57770923400); Sahraoui, Houari (57196894039)","57218143928; 58965990400; 57770923400; 57196894039","CodeUltraFeedback: An LLM-as-a-Judge Dataset for Aligning Large Language Models to Coding Preferences","2026","ACM Transactions on Software Engineering and Methodology","35","3","68","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031612710&doi=10.1145%2F3736407&partnerID=40&md5=bfa9a0083dbe96c2004c0d7ecccec8e9","Article","Final","Scopus"
"Guo S.; Wu Z.","Guo, Shengdong (60479633300); Wu, Zhijie (57222046240)","60479633300; 57222046240","Enhancing accuracy and acceptability of English-Chinese generative AI translation in clinical guidelines: The importance of post-editing","2026","Across Languages and Cultures","","","","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032566266&doi=10.1556%2F084.2025.01184&partnerID=40&md5=851df7a1911db21ea516dcf7af478850","Article","Article in press","Scopus"
"Chen M.-Y.; Hoang T.T.U.; Hahn M.; Sarfraz M.S.","Chen, Mei-Yen (59145833900); Hoang, Thi Thu Uyen (60012632200); Hahn, Michael (60012568000); Sarfraz, M. Saquib (36761552400)","59145833900; 60012632200; 60012568000; 36761552400","When Does LoRA Reuse Work? Theoretical Limits and Mechanisms for Recycling LoRAs Without Data Access","2026","Transactions on Machine Learning Research","2026-February","","","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030853189&partnerID=40&md5=2f1371bdcf155f4d2edaa07cdddd589e","Article","Final","Scopus"
"Eumi E.M.; Abbass H.; Marcus N.","Eumi, Ettilla Mohiuddin (57271785600); Abbass, Hussein (6701824380); Marcus, Nadine (7005484450)","57271785600; 6701824380; 7005484450","SwarmChat: An LLM-Based, Context-Aware Multimodal Interaction System for Robotic Swarms","2026","Lecture Notes in Computer Science","16011 LNCS","","","181","192","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019527537&doi=10.1007%2F978-981-95-0982-9_15&partnerID=40&md5=59fd93b154c7bfc472c8cda0cfa8b829","Conference paper","Final","Scopus"
"Yang A.; Kang F.; Bu W.","Yang, Anfeng (60503841100); Kang, Fei (57220721733); Bu, Wenjuan (57217858084)","60503841100; 57220721733; 57217858084","TinySecGPT: Small-Parameter LLMS Can Outperform Large-Parameter LLMS in Cybersecurity","2026","Computers, Materials and Continua","87","2","39","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032738123&doi=10.32604%2Fcmc.2025.073979&partnerID=40&md5=b40f84261e050bab21767e140370adbc","Article","Final","Scopus"
"Navas-Loro M.; Takeda H.; Satoh K.","Navas-Loro, María (57195404822); Takeda, Hideaki (59862199600); Satoh, Ken (7403151118)","57195404822; 59862199600; 7403151118","Large Language Models for translating contract-related texts to logical predicates: Prompting, fine-tuning or dedicated library?","2026","Expert Systems with Applications","","","131031","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029597806&doi=10.1016%2Fj.eswa.2025.131031&partnerID=40&md5=b59cbe071802d4eb6b2e6a83652215fd","Article","Article in press","Scopus"
"Liu D.; Tan Z.; Yen G.G.; Duan S.; Zhou Y.; He Z.","Liu, Dongbo (57207385852); Tan, Ziqi (60346526600); Yen, Gary G. (7102240014); Duan, Suling (57848934300); Zhou, Yimin (56137073200); He, Zhenan (52163570800)","57207385852; 60346526600; 7102240014; 57848934300; 56137073200; 52163570800","Evolutionary Computation-enhanced Large Language Models for Intelligent Code Completion","2026","IEEE Transactions on Evolutionary Computation","","","","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028251098&doi=10.1109%2FTEVC.2026.3655808&partnerID=40&md5=e4211dc7e4e6f8a799d3e0e306512312","Article","Article in press","Scopus"
